ID,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,Grade Point 
610230,707,716,705,725,702,704,715,706,742,731,726,717,710,711,712,708,709,722,713,119.5
610231,712,707,708,713,705,715,709,726,711,716,742,725,704,717,702,710,722,706,731,81
610232,722,707,702,711,712,726,704,717,709,742,705,713,725,731,708,710,716,715,706,92
610233,704,711,712,707,705,702,709,716,725,722,717,726,713,708,715,706,731,742,710,105.5
610234,707,711,725,712,704,722,706,742,716,713,717,702,715,705,710,731,709,708,726,147
610235,704,725,709,713,708,710,731,702,705,715,716,726,717,706,742,712,711,722,707,159.5
610236,717,702,722,707,731,715,704,709,716,705,742,712,711,713,726,706,710,725,708,93.5
610237,707,712,717,722,704,711,702,725,705,709,713,726,742,731,715,716,708,710,706,115
610238,702,704,717,731,722,708,713,726,710,709,715,716,705,707,706,742,725,712,711,86
610239,704,722,726,742,731,702,717,725,712,711,707,713,716,709,708,715,710,705,706,125
610240,707,702,712,704,722,708,711,725,726,713,717,705,715,716,710,706,709,731,742,123.5
610241,712,711,704,707,702,722,709,717,705,716,725,708,713,726,715,710,706,731,742,107
610242,731,725,742,717,722,726,708,710,712,713,704,702,707,715,705,716,709,711,706,108
610243,742,731,708,717,726,713,725,722,716,707,711,709,704,715,710,712,702,705,706,122
610244,702,707,722,704,711,716,717,705,708,709,725,742,731,726,715,713,712,706,710,133
610245,706,725,731,710,742,713,702,704,711,708,709,712,717,716,726,715,722,707,705,121
610246,725,711,704,707,717,712,722,709,702,713,731,742,705,706,716,715,726,710,708,82
610247,715,731,713,706,712,711,707,705,726,725,722,742,704,702,708,716,717,709,710,56.5
610248,707,725,711,722,712,709,716,702,731,705,708,742,713,715,717,726,704,710,706,183.5
610249,705,716,709,702,712,707,704,711,715,722,725,706,713,717,742,731,726,710,708,119.5
610250,711,712,707,722,705,709,715,704,716,742,717,725,731,713,702,726,708,710,706,140
610251,712,722,709,702,717,715,704,711,707,725,708,710,713,716,726,742,705,731,706,108.5
610252,710,706,712,713,708,717,715,731,707,709,704,711,705,716,702,742,725,722,726,86
610253,702,713,707,722,716,715,717,725,711,712,731,704,705,708,726,710,709,742,706,87.5
610254,702,707,722,711,704,725,731,717,705,715,712,716,709,742,713,726,708,710,706,114.5
610255,706,707,725,717,742,731,712,726,704,702,715,716,711,713,708,710,709,722,705,162.5
610256,707,713,717,702,705,708,704,709,710,711,712,715,716,742,722,725,726,731,706,86.5
610257,725,712,707,711,722,704,717,709,713,702,742,731,708,705,715,726,716,710,706,153
610258,711,725,742,709,704,717,716,707,722,712,702,713,715,731,708,706,726,710,705,87
610259,707,702,722,717,704,725,711,713,708,710,709,715,705,726,731,716,706,742,712,112.5
610260,731,742,704,717,708,715,710,713,711,726,725,707,702,722,712,716,709,706,705,93.5
610261,716,702,705,712,711,707,709,704,722,725,726,731,742,717,715,713,708,710,706,95
610262,712,704,722,713,717,707,731,742,715,705,725,708,716,726,702,711,709,710,706,120.5
610263,707,731,717,722,704,726,709,702,725,716,705,715,712,711,713,710,708,706,742,72.5
610264,717,722,704,731,702,710,742,709,708,705,726,712,711,715,713,725,716,707,706,124
610265,707,722,712,717,725,711,716,702,704,709,710,713,726,708,731,742,705,706,715,145
610266,725,742,706,707,722,731,712,711,717,713,702,716,709,708,710,704,705,715,726,136.5
610267,702,712,742,707,722,725,713,711,717,731,715,704,716,710,708,705,726,709,706,120
610268,707,717,709,731,712,711,704,705,726,715,716,713,722,725,742,708,702,710,706,117
610269,712,702,709,731,742,716,707,722,717,710,708,711,725,713,704,715,705,726,706,93.5
610270,706,742,705,731,712,722,725,704,711,707,717,713,702,709,726,708,716,715,710,95.5
610271,712,715,707,722,704,731,717,711,713,702,709,716,710,742,725,705,708,726,706,98
610272,725,711,722,709,712,707,716,742,704,717,708,710,713,731,705,702,726,715,706,123
610273,722,707,725,712,709,711,715,717,704,705,702,726,713,708,710,716,731,742,706,137
610274,722,707,704,702,717,715,709,711,725,712,726,742,731,716,713,708,710,705,706,124
610275,704,722,708,717,710,711,712,713,707,725,715,731,702,705,709,716,742,726,706,118.5
610276,712,707,722,704,717,709,702,705,716,713,715,731,742,710,708,726,711,725,706,83
610277,712,704,722,707,725,713,711,705,726,717,731,742,702,716,715,709,708,710,706,156
610278,715,726,702,704,717,742,709,705,731,708,710,725,722,716,707,711,712,713,706,102.5
610279,717,705,702,731,742,709,706,707,704,725,712,722,715,713,708,711,716,710,726,126
610280,717,704,713,726,731,702,712,711,707,709,725,722,742,716,708,715,710,705,706,103.5
610281,702,725,707,704,717,705,722,712,711,709,713,708,716,731,742,726,715,710,706,139.5
610282,717,705,702,715,704,713,709,716,742,708,707,711,712,725,722,726,710,731,706,91
610283,711,712,742,731,709,725,716,704,705,707,717,722,726,713,702,715,710,708,706,86.5
610284,726,715,704,731,713,742,702,709,712,707,708,710,711,716,725,705,722,717,706,72.5
610285,731,713,717,706,712,705,709,707,716,704,725,722,742,726,711,702,708,710,715,90.5
610286,705,711,707,716,712,725,722,726,717,709,702,704,742,731,713,708,706,710,715,126.5
610287,712,704,717,707,711,725,722,705,709,716,742,731,702,715,726,713,710,708,706,143
610288,709,717,702,712,716,726,713,715,731,722,705,704,711,708,725,707,742,710,706,75
610289,716,707,711,722,725,702,712,704,717,708,713,709,731,715,726,742,705,710,706,108.5
610290,712,742,731,704,715,726,707,709,711,725,716,706,722,702,713,717,708,705,710,77
610291,713,708,731,726,712,709,702,704,711,707,725,722,717,716,705,715,742,706,710,90
610292,707,712,705,711,706,717,722,725,713,710,702,716,708,709,715,731,742,704,726,142.5
610293,704,722,726,709,713,707,708,731,717,742,725,702,716,712,711,705,715,710,706,120.5
610294,705,702,704,709,711,716,726,715,717,722,707,731,710,708,713,725,742,712,706,97.5
610295,712,711,709,716,704,705,707,725,717,742,715,713,731,722,706,702,726,710,708,104.5
610296,702,707,726,717,704,722,725,711,709,713,705,712,716,706,708,742,731,715,710,104.5
610297,722,702,715,708,742,731,716,726,713,717,725,711,712,704,705,709,707,706,710,79.5
610298,713,702,717,704,722,707,712,731,716,725,726,711,709,710,708,742,715,705,706,90
610299,717,712,704,709,707,711,722,702,725,731,742,715,716,705,726,713,708,710,706,120.5
610300,711,709,705,712,716,707,704,726,702,731,742,717,722,725,715,708,710,713,706,121
610301,717,704,708,715,731,711,707,709,713,712,742,726,725,722,702,716,705,706,710,76
610302,711,704,707,712,722,702,716,705,731,708,709,710,713,715,717,725,726,742,706,125.5
610303,725,702,704,706,726,709,722,716,708,731,705,707,711,717,710,713,715,742,712,177.5
610304,711,707,717,702,709,715,705,716,708,726,722,731,704,742,725,712,713,710,706,94
610305,712,707,722,709,702,708,713,711,742,717,731,705,704,716,726,710,715,725,706,77
610306,707,702,717,704,712,711,716,725,722,709,705,713,710,708,715,731,742,726,706,138.5
610307,711,712,725,722,707,705,709,710,702,704,713,715,716,717,708,706,726,731,742,144.5
610308,709,711,712,707,705,702,731,722,704,742,713,706,708,710,717,716,726,725,715,108.5
610309,742,704,712,713,731,725,715,726,722,708,717,705,702,716,710,711,709,707,706,83.5
610310,704,722,702,709,707,726,705,725,731,742,708,712,711,716,717,713,710,715,706,66.5
